Twitter_Handle,First_Name,Last_Name,Genre
@_AnneHathaway,Anne,Hathaway,Actor
@IAMannalynnemcc,AnnaLynne,McCord,Actor
@EmmaWatson,Emma,Watson,Actor
@JuliaRoberts,Julia,Roberts,Actor
@LeoDiCaprio,Leonardo,DiCaprio,Actor
@EvaLongoria,Eva,Baston,Actor
@TheRock,Dwayne,Johnson,Actor
@jessicaalba,Jessica,Alba,Actor
@PatrcikDempsey,Patrick,Dempsey,Actor
@EllenPompeo,Ellen,Pompeo,Actor
@JessicaCapshaw,Jessica,Capshaw,Actor
@sarahdrew,Sarah,Drew,Actor
@IamSandraOh,Sandra,Oh,Actor
@SaraRamirez,Sara,Ramirez,Actor
@iJesseWilliams,Jesse,Williams,Actor
@TheRealKMcKidd,Kevin,McKidd,Actor
@camilluddington ?,Camilla,Luddington,Actor
@KatieHeigl,Katherine,Heigl,Actor
@JasonWGeorge,Jason,George,Actor
@chy_leigh,Chyler,Leigh,Actor
@katewalsh,Kate,Walsh,Actor
@KellyMcCreary,Kelly,McCreary,Actor
@IWashington,Isaiah,Washington,Actor
@DohertyShannen,Shannen,Doherty,Actor
@shenaegrimes,Shenae,Grimes,Actor
@JessicaLStroup,Jessica,Stroup,Actor
@MattLanter,Matt,Lanter,Actor
@MACKWILDS,Tristan,Wilds,Actor
@EmilyVanCamp,Emily,VanCamp,Actor
@Gabriel_Mann,Gabriel,Mann,Actor
@Nick_Wechsler,Nick,Wechsler,Actor
@christabrittany,Christa,Allen,Actor
@smashleybell,Ashley,Madekwe,Actor
@BarrySloane,Barry,Sloane,Actor
@MichaelEmerson,Michael,Emerson,Actor
@AmyAcker,Amy,Acker,Actor
@sarahshahi,Sarah,Shahi,Actor
@TherealTaraji,Taraji,Henson,Actor
@TaySchilling,Taylor,Schilling,Actor
@LauraPrepon,Laura,Prepon,Actor
@UzoAduba,Uzo,Aduba,Actor
@nlyonne,Natasha,Lyonne,Actor
@thedanieb,Danielle,Brooks,Actor
@Lavernecox,Laverne,Cox,Actor
@therealleadelaria,Lea,DeLaria,Actor
@chrisrock,Chris,Rock,Comedian
@JerrySeinfield,Jerry,Seinfield,Comedian
@therealroseanne,Roseanne,Barr,Comedian
@TheLewisBlack,Lewis,Black,Comedian
@MelBrooks,Mel,Brooks,Comedian
@JimCarrey,Jim,Carrey,Comedian
@KevinHart4real,Kevin,Hart,Comedian
@hannibalburess,Hannibal,Buress,Comedian
@StephenAtHome,Stephen,Colbert,Comedian
@billburr,Bill,Burr,Comedian
@davidcrosss,David,Cross,Comedian
@ofctimallen,Tim,Allen,Comedian
@JimBreuer,Jim,Breuer,Comedian
@ericandre,Eric,Andre,Comedian
@SandraBernhard,Sandra,Bernhard,Comedian
@BillyCrystal,Billy,Crystal,Comedian
@arjbarker,Arj,Barker,Comedian
@RealCarrotTop,Scott,Thompson,Comedian
@PreacherLawson,Preacher,Lawson,Comedian
@attell,Dave,Attell,Comedian
@ElayneBoosler,Elayne,Boosler,Comedian
@Ornyadams,Orny,Adams,Comedian
@amyschumer,Amy,Schumer,Comedian
@SarahKSilverman,Sarah,Silverman,Comedian
@TheEllenShow,Ellen,DeGeneres,Comedian
@iamwandaskyes,Wanda,Skyes,Comedian
@chelseahandler,Chelsea,Handler,Comedian
@TigNotaro,Tig,Notaro,Comedian
@mariabamfoo,Maria,Bamford,Comedian
@margaretcho,Margaret,Cho,Comedian
@WhoopiGoldberg,Whoopi,Goldberg,Comedian
@ilanusglazer,Ilana,Glazer,Comedian
@aparnapkin,Aparna,Nancheria,Comedian
@LisaLampanelli,Lisa,Lampanelli,Comedian
@kathygriffin,Kathy,Griffin,Comedian
@cameronesposito,Cameron,Esposito,Comedian
@WhitneyCummings,Whitney,Cummings,Comedian
@iamsambee,Samantha,Bee,Comedian
@chelseaperetti,Chelsea,Peretti,Comedian
@mindykaling,Mindy,Kaling,Comedian
@dopequeenpheebs,Phoebe,Robinson,Comedian
@iliza,Iliza,Shiesinger,Comedian
@aliwong,Ali,Wong,Comedian
@msjwilly,Jessica,Williams,Comedian
@JenKirkman,Jen,Kirkman,Comedian
@taylorswift13,Taylor,Swift,Musician
@ArianaGrande,Ariana,Grande,Musician
@edsheeran,Ed,Sheeran,Musician
@BrunoMars,Bruno,Mars,Musician
@selenagomez,Selena,Gomez,Musician
@katyperry,Katy,Perry,Musician
@carrieunderwood,Carrie,Underwood,Musician
@KeithUrban,Keith,Urban,Musician
@PaulMcCartney,Paul,McCartney,Musician
@ladygaga,Lady,Gaga,Musician
@iamDiddy,Sean,Combs,Musician
@bobdylan,Bob,Dylan,Musician
@MileyCyrus,Miley,Cyrus,Musician
@kelly_clarkson,Kelly,Clarkson,Musician
@StevieWonder,Stevie,Wonder,Musician
@kanyewest,Kanye,West,Musician
@kendricklamar,Kendrick,Lamar,Musician
@OzzyOsbourne,Ozzy,Osbourne,Musician
@WillieNelson,Willie,Nelson,Musician
@jtimberlake,Justin,Timberlake,Musician
@ShawnMendes,Shawn,Mendes,Musician
@BritneySpears,Britney,Spears,Musician
@LukeBryanOnline,Luke,Bryan,Musician
@SantanaCarlos,Carlos,Santana,Musician
@jlo,Jennifer,Lopez,Musician
@billieelish,Billie,Elish,Musician
@BebeRexha,Bebe,Rexha,Musician
@imjmichaels,Julia,Michaels,Musician
@CalvinHarris,Calvin,Harris,Musician
@DuaLipa,Dua,Lipa,Musician
@JessGlynne,Jess,Glynne,Musician
@EllaHenderson,Ella,Henderson,Musician
@samsmithworld,Sam,Smith,Musician
@TantrumJas,Jasmine,Thompson,Musician
@ParsonJames,Parson,James,Musician
@JamesArthur23,James,Arthur,Musician
@ddlovato,Demi,Lovato,Musician
@ollyofficial,Olly,Murs,Musician
@elliegoulding,Ellie,Goulding,Musician
@IGGYAZALEA,Iggy,Azalea,Musician
@TinieTempah,Tinie,Tempah,Musician
@chrisbrown,Chris,Brown,Musician
@justinbeiber,Justin,Beiber,Musician
@jasonderulo,Jason,Derulo,Musician
@MeekMill,Meek,Mill,Musician
@Jumpman23,Michael,Jordan,Sports_Celeb
@kobebryant,Kobe,Bryant,Sports_Celeb
@raylewis,Ray,Lewis,Sports_Celeb
@FloydMayweather,Floyd,Mayweather,Sports_Celeb
@SHAQ,Shaq,O'Neil,Sports_Celeb
@larrybirddaily,Larry,Bird,Sports_Celeb
@RealBillRussell,Bill,Russell,Sports_Celeb
@tonyparker,Tony,Parker,Sports_Celeb
@Cristiano,Cristiano,Ronaldo,Sports_Celeb
@serenawilliams,Serena,Williams,Sports_Celeb
@YaoMing,Yao,Ming,Sports_Celeb
@rogerfederer,Roger,Federer,Sports_Celeb
@KingJames,LeBron,James,Sports_Celeb
@carmeloanthony,Carmello,Anthony,Sports_Celeb
@KDTrey5,Kevin,Durant,Sports_Celeb
@alleniverson,Allen,Iverson,Sports_Celeb
@TheNotoriousMMA,Connor,McGregor,Sports_Celeb
@TigerWoods,Tiger,Woods,Sports_Celeb
@OBJ_3,Odell,Beckham Jr,Sports_Celeb
@Kaepernick7,Colin,Kappernick,Sports_Celeb
@MariaSharapova,Maria,Sharapova,Sports_Celeb
@MiaHamm,Mia,Hamm,Sports_Celeb
@HollyHolm,Holly,Holm,Sports_Celeb
@Sara_McMann,Sarah,Mcmann,Sports_Celeb
@Bharper3407,Bryce,Harper,Sports_Celeb
@TheJudge44,Aaron,Judge,Sports_Celeb
@davidortiz,David,Ortiz,Sports_Celeb
@JeterTurn2,Derek,Jeter,Sports_Celeb
@AROD,Alex,Rodriguez,Sports_Celeb
@AmericanRaceTNT,Charles,Barkley,Sports_Celeb
@MichaelPhelps,Michael,Phelps,Sports_Celeb
@gabrielledoug,Gabby,Douglas,Sports_Celeb
@Simone_Biles,Simone,Biles,Sports_Celeb
@MichelleWKwan,Michelle,Kwan,Sports_Celeb
@WayneGretzky,Wayne,Gretsky,Sports_Celeb
@MartinBrodeur,Martin,Brodeur,Sports_Celeb
@ToreyKrug,Torey,Krug,Sports_Celeb
@drose,Derrick,Rose,Sports_Celeb
@KyrieIrving,Kyrie,Irving,Sports_Celeb
@BenSimmons25,Ben,Simmons,Sports_Celeb
@RobGronkowski,Robert,Gronkowsky,Sports_Celeb
@Venuseswilliams,Venus,Williams,Sports_Celeb
@AndreAgassi,Andre,Agassi,Sports_Celeb
@OscarDeLaHoya,Oscar,De La Hoya,Sports_Celeb
@Giannis_An34,Giannis,Antetokounmpo,Sports_Celeb
@TheRock,Dwayne,Johnson,Sports_Celeb
@kawhileonard,Kawhi,Leonard,Sports_Celeb
@StephenCurry30,Steph,Curry,Sports_Celeb
@AntDavis23,Anthony,Davis,Sports_Celeb
@KarlTowns,Karl-Anthony,Towns,Sports_Celeb
@JohnWall,John,Wall,Sports_Celeb
@KlayThompson,Klay,Thompson,Sports_Celeb
@WWERomanReigns,Roman,Reigns,Sports_Celeb
@M_Ryan02,Matt,Ryan,Sports_Celeb
@NiaJaxWWE,Nia,Jax,Sports_Celeb
@titoortiz,Tito,Ortiz,Sports_Celeb
@SpiderAnderson,Anderson,Silva,Sports_Celeb
@TyrodTaylor,Tyrod,Taylor,Sports_Celeb
@tonyromo,Tony,Romo,Sports_Celeb
@bengreenfield,Ben,Greenfield,Sports_Celeb
@lancearmstrong,Lance,Armstrong,Sports_Celeb
@tonyhawk,Tony,Hawk,Sports_Celeb
@RyanSheckler,Ryan,Schekler,Sports_Celeb
@prod84,Paul,Rodriguez,Sports_Celeb
@BAM_MARGERA,Bam,Margera,Sports_Celeb
@TravisPastrana,Travis,Pastrana,Sports_Celeb
@derekhough,Derek,Hough,Sports_Celeb
@juliannehough,Julianne,Hough,Sports_Celeb
@JeffGordonWeb,Jeff,Gordon,Sports_Celeb
@JimmyJohnson,Jimmy,Johnson,Sports_Celeb
@JohnCena,John,Cena,Sports_Celeb
@DanicaPatrick,Danica,Patrick,Sports_Celeb
@nickdiaz209,Nick,Diaz,Sports_Celeb
@DaleJr,Dale,Earnhart,Sports_Celeb
@CameronHanes,Cameron,Hanes,Sports_Celeb
@shaunwhite,Shawn,White,Sports_Celeb
@DjokerNole,Novak,Djokovic,Sports_Celeb
@steveaustinBSR,Steve,Austin,Sports_Celeb
@UKCoachCalipari,John,Calipari,Sports_Celeb
@RSherman_25,Richard,Sherman,Sports_Celeb
@CP3,Chris,Paul,Sports_Celeb
@CaroWozniacki,Caroline,Wozniacki,Sports_Celeb
@RondaRousey,Ronda,Rowsy,Sports_Celeb
@SkyDigg4,Skylar,Diggins,Sports_Celeb
@Candace_Parker,Candice,Parker,Sports_Celeb
@criscyborg,Cris,Cyborg,Sports_Celeb
@Amanda_Leoa,Amanda,Nunez,Sports_Celeb
@MieshaTate,Miesha,Tate,Sports_Celeb
@JoelEmbiid,Joel,Embiid,Sports_Celeb
@ApoloOhno,Apollo,Anton Ono,Sports_Celeb
@usainbolt,Usain,St. Leo Bolt,Sports_Celeb
@blakegriffin23,Blake,Griffin,Sports_Celeb
@kevinlove,Kevin,Love,Sports_Celeb
@mistyonpointe,Misty,Copeland,Sports_Celeb
@MikeTyson,Mike,Tyson,Sports_Celeb
@GeorgeForeman,George,Foreman,Sports_Celeb
@StephMcMahon,Stephanie,Mcmahon,Sports_Celeb
@rolopez42,Robin,Lopez,Sports_Celeb
@DwyaneWade,Dwyane,Wade,Sports_Celeb
@BizNasty2point0,Paul,Bissonette,Sports_Celeb
@gracie_kron,Kron,Gracie,Sports_Celeb
@GarbiMuguruza,Garbine,Muguruza,Sports_Celeb
@alexmorgan13,Alex,Morgan,Sports_Celeb
@SteveNash,Steve,Nash,Sports_Celeb
@J_No24,Josh,Norman,Sports_Celeb
@MSkinner2016,Mikayla,Skinner,Sports_Celeb
@ShawnJohnson,Shawn,Johnson,Sports_Celeb
@kristiyamaguchi,Kristi,Yamaguchi,Sports_Celeb
@McIlroyRory,Rory,McIlroy,Sports_Celeb
@LewisHamilton,Lewis,Hamilton,Sports_Celeb
@neymarjr,Neymar,Jr,Sports_Celeb
@RafaelNadal,Rafael,Nadal,Sports_Celeb
@GarethBale11,Gareth,Bale,Sports_Celeb
@MoSalah,Mohamed,Salah,Sports_Celeb
@keinishikori,Kei,Nishikori,Sports_Celeb
@Canelo,Canelo,Alvarez,Sports_Celeb
@Aly_Raisman,Aly,Raisman,Sports_Celeb
@MikeTrout,Mike,Trout,Sports_Celeb
@DameLillard,Damian,Lillard,Sports_Celeb
@realDonaldTrump,Donald,Trump,Politician
@HilaryClinton,Hilary,Clinton,Politician
@BarackObama,Barack,Obama,Politician
@BillClinton,Bill,Clinton,Politician
@BernieSanders,Bernie,Sanders,Politician
@tedcruz,Ted,Cruz,Politician
@JohnKasich,John,Kasich,Politician
@marcorubio,Marco,Rubio,Politician
@SecretaryCarson,Ben,Carson,Politician
@JebBush,Jeb,Bush,Politician
@gov_gilmore,Jim,Gilmore,Politician
@GovChristie,Chris,Christie,Politician
@CarlyFiorina,Carly,Fiorina,Politician
@RickSantorum,Rick,Santorum,Politician
@RandPaul,Rand,Paul,Politician
@MartinO'Malley,Martin,O'Malley,Politician
@GovMikeHuckabee,Mike,Huckabee,Politician
@GovernorPataki,George,Pataki,Politician
@LindseyGrahamSC,Lindsey,Graham,Politician
@BobbyJindal,Bobby,Jindal,Politician
@lessig,Lawrence,Lessig,Politician
@LincolnChafee,Lincoln,Chafee,Politician
@JimWebbUSA,Jim,Webb,Politician
@ScottWalker,Scott,Walker,Politician
@SecretaryPerry,Rick,Perry,Politician
@JoeBiden,Joe,Biden,Politician
@SenGillibrand,Kirsten,Gillibrand,Politician
@SenWarren,Elizabeth,Warren,Politician
@CoryBooker,Cory,Booker,Politician
@SenSherrodBrown,Sherrod,Brown,Politician
@KamalaHarris,Kamala,Harris,Politician
@AKWeissman,Andrew,Weissman,Politician
@lpolgreen,Lydia,Polgreen,Politician
@Schriock1,Stephanie,Schriock,Politician
@ninaturner,Nina,Turner,Politician
@MassAGO,Maura,Healey,Politician
@susanamendoza10,Susana,Mendoza,Politician
@BrianBallard723,Brian,Ballard,Politician
@nick_ayers,Nick,Ayers,Politician
@JohnMorganESQ,John,Morgan,Politician
@SenJohnMcCain,John,McCain,Politician
@GeorgeHWBush,George,H.W. Bush,Politician
@TheBushCenter,George,W. Bush,Politician
@SpeakerRyan,Paul,Ryan,Politician
@CarterCenter,Jimmy,Carter,Politician
@farenthold,Blake,Farenthold,Politician
@MooreSenate,Roy,Moore,Politician
@MittRomney,Mitt,Romney,Politician
@Schwarzenegger,Arnold,Schwarzenegger,Politician
@USAGSessions,Jeff,Sessions,Politician
@RepJohnConyers,John,Conyers,Politician
@dickcheney,Dick,Cheney,Politician
@GregForMontana,Greg,Gianforte,Politician
@The_Tim_Murphy,Tim,Murphy,Politician
@JohnKerry,John,Kerry,Politician
@jaredpolis,Jared,Polis,Politician
@PaulManafort,Paul,Manafort,Politician
@PressSec,Sarah,Sanders,Politician
@SarahPalinUSA,Sarah,Palin,Politician
@BarneyFrank,Barney,Frank,Politician
@DavidCameron,David,Cameron,Politician
@VP,Mike,Pence,Politician
@algore,Al,Gore,Politician
@NancyPelosi,Nancy,Pelosi,Politician
@SenateMajLdr,Mitch,McConnell,Politician
@SenSchumer,Chuck,Schumer,Politician
@repjowrowley,Joseph,Crowley,Politician
@timkaine,Tim,Kaine,Politician
@newtgingrich,Newt,Gingrich,Politician
@GovRauner,Bruce,Rauner,Politician
@SenatorLeahy,Patrick,Leahy,Politician
@MarkWarner,Mark,Warner,Politician
@johnrobertsFox,John,Roberts,Politician
@clairecmc,Claire,McCaskill,Politician
@senorrinhatch,Orrin,Hatch,Politician
@DeanBaker13,Dean,Baker,Economist
@econjared,Jared,Bernstein,Economist
@NYTimesKrugman,Paul,Krugman,Economist
@MarkThoma,Mark,Thoma,Economist
@umairh,Umair,Haque,Economist
@profsufi,Amir,Sufi,Economist
@Nouriel,Nouriel,Roubini,Economist
@justinwolfers,Justin,Wolfers,Economist
@BetseyStevenson,Betsey,Stevenson,Economist
@omzidar,Owen,Zidar,Economist
@Noahpinion,Noah,Smith,Economist
@Austan_Goolsbee,Austan,Goolsbee,Economist
@BruceBartlett,Bruce,Bartlett,Economist
@mileskimball,Miles,kimball,Economist
@KingEconomist,Stephen,King,Economist
@jodiecongirl,Jodi,Beggs,Economist
@kaushikcbasu,kaushik,Basu,Economist
@haroldpollack,Harold,Pollack,Economist
@econoflove,Shoshana,Grossbard,Economist
@SBronars,Stephen,Bronars,Economist
@joebrusuelas,Joseph,Brusuelas,Economist
@IanShepherdson,Ian,Shepherdson,Economist
@bill_easterly,William,Easterly,Economist
@AllisonSchrager,Allison,Schrager,Economist
@RBReich,Robert,Reich,Economist
@TimDuy,Tim,Duy,Economist
@MsNicoleClark,Nicole,Clark,Social_Worker
@kyrstensinema,Kyrsten,Sinema,Social_Worker
@RepBarbaraLee,Barbara,Lee,Social_Worker
@Relando_T,Relando,Thompkins,Social_Worker
@MikeLICSW,Mike,Langlois,Social_Worker
@njsmyth,Nancy,Smyth,Social_Worker
@socworkpodcast,Jonathan,Singer,Social_Worker
@johannagreeson,Johanna,Greeson,Social_Worker
@JimmySW,Jimmy,Young,Social_Worker
@tiziana_dearing,Tiziana,dearing,Social_Worker
@ProfessorChic,Jamie,Mitchell,Social_Worker
@chrisremani1,Christopher,Remani,Social_Worker
@looloolollie,Laura,L,Social_Worker
@RealKHughes,Katherine,Hughes,Social_Worker
@LeireAgirre4,Leire,Agirre,Social_Worker
@BeckyEBurden,Rebecca,Burden,Social_Worker
@JeanneC12467841,Jeanne,Callahan,Social_Worker
@AndyPorter15,Andy,Porter,Social_Worker
@hungryghost741,Diane,NA,Social_Worker
@SWMichaelGraham,Michael,Graham,Social_Worker
@sfhosali ,Sanchita,Hosali,Social_Worker
@DrKumarVishwas,Kumar,Vishwas,Social_Worker
@drjoekort,Joe,Kort,Social_Worker
@BDUTT,Barkha,Dutt,Social_Worker
@RaggiKotak,Raggi,Kotak,Social_Worker
@CarolStorerLAPG,Carol,Storer,Social_Worker
@WendyPettifer,Wendy,Pettifer,Social_Worker
@ChristianKerrSW,Christian,Kerr,Social_Worker
@BrendanWhittle,Brendan,Whittle,Social_Worker
@RossAbramowitz,Ross,Abramowitz,Social_Worker
@oyinlolaolugbe1,Oluwagbemiga,OYINLOLA,Social_Worker
@Martha7144,Martha,Campbell,Social_Worker
@Bonesixty,Jenni,Randall,Social_Worker
@mmt98,Melissa,Thompson,Social_Worker
@ojfolaranmi,Funmilayo,Folaranmi,Social_Worker
@IanCummins9,Ian,Cummins,Social_Worker
